icao,iata,name,city,country,lat,lon
KABE,ABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,40.651773,-75.442797
KABI,ABI,Abilene Regional Airport,Abilene,US,32.4113006592,-99.68190002440001
PAFM,ABL,Ambler Airport,Ambler,US,67.105529,-157.855339
KABQ,ABQ,Albuquerque International Sunport,Albuquerque,US,35.039976,-106.608925
KABR,ABR,Aberdeen Regional Airport,Aberdeen,US,45.449100494384766,-98.42179870605469
KABY,ABY,Southwest Georgia Regional Airport,Albany,US,31.532946,-84.196215
KACK,ACK,Nantucket Memorial Airport,Nantucket,US,41.25310135,-70.06020355
KACT,ACT,Waco Regional Airport,Waco,US,31.611299514770508,-97.23049926757812
KACV,ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,40.978101,-124.109
KACY,ACY,Atlantic City International Airport,Atlantic City,US,39.456201,-74.577511
PADK,ADK,Adak Airport,Adak,US,51.883564,-176.642783
PADQ,ADQ,Kodiak Airport,Kodiak,US,57.75,-152.4940033
PFAL,AET,Allakaket Airport,Allakaket,US,66.551804,-152.621994
KAEX,AEX,Alexandria International Airport,Alexandria,US,31.325828,-92.546702
PAGN,AGN,Angoon Seaplane Base,Angoon,US,57.497097,-134.56722
KAGS,AGS,Augusta Regional At Bush Field,Augusta,US,33.3699,-81.9645
KAIA,AIA,Alliance Municipal Airport,Alliance,US,42.052543,-102.803965
PAWI,AIN,Wainwright Airport,Wainwright,US,70.638,-159.994995
PAAK,AKB,Atka Airport,Atka,US,52.220299,-174.205994
PFAK,AKI,Akiak Airport,Akiak,US,60.902646,-161.23106
PAKH,AKK,Akhiok Airport,Akhiok,US,56.938702,-154.182999
PAKN,AKN,King Salmon Airport,King Salmon,US,58.677845,-156.651965
PAKP,AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,68.133598,-151.742996
KALB,ALB,Albany International Airport,Albany,US,42.748299,-73.801697
KALO,ALO,Waterloo Regional Airport,Waterloo,US,42.557098388671875,-92.40029907226562
KALS,ALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,US,37.434898,-105.866997
